timestamp,image,ok,msg
20260608_204106,shot_20260608_204106.png,batch,collected
20260608_204110,shot_20260608_204110.png,batch,collected
20260608_204113,shot_20260608_204113.png,batch,collected
20260608_204117,shot_20260608_204117.png,batch,collected
20260608_204121,shot_20260608_204121.png,batch,collected
20260608_204456,shot_20260608_204456.png,batch,collected
20260608_204500,shot_20260608_204500.png,batch,collected
20260608_204504,shot_20260608_204504.png,batch,collected
20260608_204508,shot_20260608_204508.png,batch,collected
20260608_204512,shot_20260608_204512.png,batch,collected
20260608_204709,shot_20260608_204709.png,batch,collected
20260608_204713,shot_20260608_204713.png,batch,collected
20260608_204717,shot_20260608_204717.png,batch,collected
20260608_204721,shot_20260608_204721.png,batch,collected
20260608_204724,shot_20260608_204724.png,batch,collected
20260608_204906,shot_20260608_204906.png,batch,collected
20260608_204910,shot_20260608_204910.png,batch,collected
20260608_204914,shot_20260608_204914.png,batch,collected
20260608_204918,shot_20260608_204918.png,batch,collected
20260608_204921,shot_20260608_204921.png,batch,collected
20260608_205316,shot_20260608_205316.png,batch,collected
20260608_205320,shot_20260608_205320.png,batch,collected
20260608_205324,shot_20260608_205324.png,batch,collected
20260608_205328,shot_20260608_205328.png,batch,collected
20260608_205332,shot_20260608_205332.png,batch,collected
20260608_212747,shot_20260608_212747.png,batch,collected
20260608_212751,shot_20260608_212751.png,batch,collected
20260608_212755,shot_20260608_212755.png,batch,collected
20260608_212759,shot_20260608_212759.png,batch,collected
20260608_212802,shot_20260608_212802.png,batch,collected
20260608_212934,shot_20260608_212934.png,batch,collected
20260608_212938,shot_20260608_212938.png,batch,collected
20260608_212942,shot_20260608_212942.png,batch,collected
20260608_212945,shot_20260608_212945.png,batch,collected
20260608_212949,shot_20260608_212949.png,batch,collected
20260608_213232,shot_20260608_213232.png,batch,collected
20260608_213236,shot_20260608_213236.png,batch,collected
20260608_213240,shot_20260608_213240.png,batch,collected
20260608_213244,shot_20260608_213244.png,batch,collected
20260608_213248,shot_20260608_213248.png,batch,collected
20260608_213849,shot_20260608_213849.png,batch,collected
20260608_213853,shot_20260608_213853.png,batch,collected
20260608_213857,shot_20260608_213857.png,batch,collected
20260608_213901,shot_20260608_213901.png,batch,collected
20260608_213905,shot_20260608_213905.png,batch,collected
20260608_214459,shot_20260608_214459.png,batch,collected
20260608_214503,shot_20260608_214503.png,batch,collected
20260608_214507,shot_20260608_214507.png,batch,collected
20260608_214510,shot_20260608_214510.png,batch,collected
20260608_214514,shot_20260608_214514.png,batch,collected
20260608_220240,shot_20260608_220240.png,batch,collected
20260608_220244,shot_20260608_220244.png,batch,collected
20260608_220248,shot_20260608_220248.png,batch,collected
20260608_220252,shot_20260608_220252.png,batch,collected
20260608_220256,shot_20260608_220256.png,batch,collected
